Date,State,Population,House Price Index,Unemployment Rate
01-Dec-05,NSW,6718023,81.8,5.2937566
01-Mar-06,NSW,6735528,80.8,4.9787804
01-Jun-06,NSW,6742690,82.3,5.2884388
01-Sep-06,NSW,6766133,82.0,5.2007804
01-Dec-06,NSW,6786160,82.7,4.8116753
01-Mar-07,NSW,6815359,81.9,4.9570252
01-Jun-07,NSW,6834156,85.2,4.5740768
01-Sep-07,NSW,6859736,87.3,4.6551286
01-Dec-07,NSW,6883852,89.2,4.6471845
01-Mar-08,NSW,6919907,88.5,4.3379433
01-Jun-08,NSW,6943461,87.3,4.5651604
01-Sep-08,NSW,6972395,85.7,4.8824728
01-Dec-08,NSW,7001782,84.5,5.2473776
01-Mar-09,NSW,7032423,83.9,6.6907319
01-Jun-09,NSW,7053755,87.5,6.4042515
01-Sep-09,NSW,7079175,91.1,5.4768014
01-Dec-09,NSW,7101504,96.0,5.8463525
01-Mar-10,NSW,7128356,98.9,5.4910888
01-Jun-10,NSW,7144292,101.4,5.1868993
01-Sep-10,NSW,7162726,101.1,5.0596936
01-Dec-10,NSW,7179891,101.3,4.5829355
01-Mar-11,NSW,7204737,101.0,5.0546484
01-Jun-11,NSW,7218529,101.4,5.2417154
01-Sep-11,NSW,7240922,99.9,5.4708282
01-Dec-11,NSW,7261592,98.4,5.6030003
01-Mar-12,NSW,7288180,100.3,4.7000046
01-Jun-12,NSW,7307183,101.4,5.1979571
01-Sep-12,NSW,7330835,100.9,5.2735379
01-Dec-12,NSW,7356850,103.7,5.0884308
01-Mar-13,NSW,7386000,104.7,5.5067178
01-Jun-13,NSW,7407063,108.7,5.4448119
01-Sep-13,NSW,7434451,112.8,5.5719217
01-Dec-13,NSW,7459562,119.0,5.8602577
01-Mar-14,NSW,7492704,121.7,5.2563746
01-Jun-14,NSW,7513975,126.0,5.8135514
01-Sep-14,NSW,7542546,128.8,5.9365049
01-Dec-14,NSW,7563738,133.4,5.9584004
01-Mar-15,NSW,7593897,137.6,5.9355841
01-Jun-15,NSW,7618241,149.8,5.8452677
01-Dec-05,VIC,5023203,64.0,5.2600372
01-Mar-06,VIC,5048207,65.4,5.1129317
01-Jun-06,VIC,5061266,67.2,5.0215261
01-Sep-06,VIC,5083593,68.1,4.5791411
01-Dec-06,VIC,5103965,69.5,5.0034759
01-Mar-07,VIC,5134074,71.0,4.8282367
01-Jun-07,VIC,5153522,76.0,4.6276918
01-Sep-07,VIC,5178515,79.5,4.2902575
01-Dec-07,VIC,5199503,84.7,4.8624812
01-Mar-08,VIC,5233000,85.7,4.2475179
01-Jun-08,VIC,5256375,85.5,4.6396301
01-Sep-08,VIC,5286549,83.0,4.4341489
01-Dec-08,VIC,5313285,82.3,4.8336797
01-Mar-09,VIC,5347672,82.5,5.6624134
01-Jun-09,VIC,5371934,86.9,6.1442927
01-Sep-09,VIC,5398874,92.5,5.635636
01-Dec-09,VIC,5419249,98.6,5.4261254
01-Mar-10,VIC,5445172,103.3,5.4007665
01-Jun-10,VIC,5461101,106.2,5.5247765
01-Sep-10,VIC,5478710,104.3,5.1884405
01-Dec-10,VIC,5495711,105.7,4.9150919
01-Mar-11,VIC,5520378,104.7,4.3624183
01-Jun-11,VIC,5537817,103.5,4.6868478
01-Sep-11,VIC,5560503,101.3,5.3028148
01-Dec-11,VIC,5582670,100.0,5.2500095
01-Mar-12,VIC,5611981,99.4,5.7772566
01-Jun-12,VIC,5632521,99.3,5.5737495
01-Sep-12,VIC,5656652,98.6,5.590278
01-Dec-12,VIC,5680502,100.4,5.6848714
01-Mar-13,VIC,5710847,100.8,5.6666564
01-Jun-13,VIC,5733545,102.7,5.9769202
01-Sep-13,VIC,5761100,105.9,5.7776243
01-Dec-13,VIC,5784777,109.7,6.2537342
01-Mar-14,VIC,5817241,110.7,6.486031
01-Jun-14,VIC,5838748,112.1,6.635558
01-Sep-14,VIC,5865076,113.1,6.8189761
01-Dec-14,VIC,5885688,115.2,6.3908255
01-Mar-15,VIC,5914753,115.9,6.2301588
01-Jun-15,VIC,5938119,120.8,6.0555383
01-Dec-05,QLD,3964175,75.0,4.8636096
01-Mar-06,QLD,3987653,75.6,4.7051245
01-Jun-06,QLD,4007992,77.5,4.5002429
