,Estimated Resident Population ;  Male ;  New South Wales ;,Estimated Resident Population ;  Male ;  Victoria ;,Estimated Resident Population ;  Male ;  Queensland ;,Estimated Resident Population ;  Male ;  South Australia ;,Estimated Resident Population ;  Male ;  Western Australia ;,Estimated Resident Population ;  Male ;  Tasmania ;,Estimated Resident Population ;  Male ;  Northern Territory ;,Estimated Resident Population ;  Male ;  Australian Capital Territory ;,Estimated Resident Population ;  Male ;  Australia ;,Estimated Resident Population ;  Female ;  New South Wales ;,Estimated Resident Population ;  Female ;  Victoria ;,Estimated Resident Population ;  Female ;  Queensland ;,Estimated Resident Population ;  Female ;  South Australia ;,Estimated Resident Population ;  Female ;  Western Australia ;,Estimated Resident Population ;  Female ;  Tasmania ;,Estimated Resident Population ;  Female ;  Northern Territory ;,Estimated Resident Population ;  Female ;  Australian Capital Territory ;,Estimated Resident Population ;  Female ;  Australia ;,Estimated Resident Population ;  Persons ;  New South Wales ;,Estimated Resident Population ;  Persons ;  Victoria ;,Estimated Resident Population ;  Persons ;  Queensland ;,Estimated Resident Population ;  Persons ;  South Australia ;,Estimated Resident Population ;  Persons ;  Western Australia ;,Estimated Resident Population ;  Persons ;  Tasmania ;,Estimated Resident Population ;  Persons ;  Northern Territory ;,Estimated Resident Population ;  Persons ;  Australian Capital Territory ;,Estimated Resident Population ;  Persons ;  Australia ;
01-Dec-05,3327461,2481962,1977783,762665,1022918,240625,107839,164850,10087382,3390562,2541241,1986392,782187,1007018,247473,99546,168655,10224161,6718023,5023203,3964175,1544852,2029936,488098,207385,333505,20311543
01-Mar-06,3336005,2495951,1989764,765272,1030021,241193,108137,165351,10132982,3399523,2552256,1997889,784863,1012429,247947,100210,168948,10265150,6735528,5048207,3987653,1550135,2042450,489140,208347,334299,20398132
01-Jun-06,3339035,2502687,1999858,766432,1034567,241227,108502,165814,10159424,3403655,2558579,2008134,786097,1016014,248075,100555,169356,10291542,6742690,5061266,4007992,1552529,2050581,489302,209057,335170,20450966
01-Sep-06,3351254,2514544,2011909,768884,1040869,241864,109220,166549,10206440,3414879,2569049,2019671,788448,1023163,248490,101064,169998,10335842,6766133,5083593,4031580,1557332,2064032,490354,210284,336547,20542282
01-Dec-06,3361292,2524859,2023921,770847,1047061,242549,109586,167405,10248923,3424868,2579106,2031924,790453,1029806,248966,101443,170976,10378624,6786160,5103965,4055845,1561300,2076867,491515,211029,338381,20627547
01-Mar-07,3376796,2540885,2038366,773855,1055527,243232,110277,168533,10308891,3438563,2593189,2046165,793351,1038106,249393,102095,172011,10433926,6815359,5134074,4084531,1567206,2093633,492625,212372,340544,20742817
01-Jun-07,3387138,2551093,2052323,775561,1061703,243659,111063,169640,10353636,3447018,2602429,2058695,795058,1044436,249603,102685,173004,10473986,6834156,5153522,4111018,1570619,2106139,493262,213748,342644,20827622
01-Sep-07,3401126,2564179,2063672,777528,1069018,244495,111870,170029,10403419,3458610,2614336,2071286,797009,1051758,250052,103310,173312,10520741,6859736,5178515,4134958,1574537,2120776,494547,215180,343341,20924160
01-Dec-07,3413653,2574619,2076128,779355,1075987,245319,112777,170383,10449776,3470199,2624884,2083862,799134,1059019,250539,103841,173793,10566345,6883852,5199503,4159990,1578489,2135006,495858,216618,344176,21016121
01-Mar-08,3432731,2592080,2092307,782440,1086540,246319,113502,171722,10519220,3487176,2640920,2099172,801968,1069012,251233,104410,174755,10629708,6919907,5233000,4191479,1584408,2155552,497552,217912,346477,21148928
